Designator,Mid X,Mid Y,Rotation,Layer
C1,143.3,-112.0,270.0,bottom
C2,132.3,-112.0,270.0,bottom
D1,135.0,-112.0,90.0,top
D2,144.6,-112.0,270.0,top
Q1,135.3,-112.0,180.0,bottom
R1,140.0,-115.6,0.0,bottom
R2,140.0,-108.6,0.0,bottom
